V1,V2,Vout
0.214,0.75,0.017171994
0.215,0.75,0.0171719942
0.216,0.75,0.0171719966
0.217,0.75,0.0171719953
0.218,0.75,0.017171996
0.219,0.75,0.0171719982
0.22,0.75,0.0171719975
0.221,0.75,0.0171719985
0.222,0.75,0.0171719997
0.223,0.75,0.0171720005
0.224,0.75,0.0171720012
0.225,0.75,0.0171720015
0.226,0.75,0.0171720028
0.227,0.75,0.0171720033
0.228,0.75,0.0171720047
0.229,0.75,0.0171720047
0.23,0.75,0.0171720085
0.231,0.75,0.0171720112
0.232,0.75,0.0171720126
0.233,0.75,0.0171720134
0.234,0.75,0.0171720186
0.235,0.75,0.0171720187
0.236,0.75,0.0171720201
0.237,0.75,0.0171720194
0.238,0.75,0.0171720223
0.239,0.75,0.0171720225
0.24,0.75,0.0171720234
0.241,0.75,0.0171720256
0.242,0.75,0.0171720269
0.243,0.75,0.0171720267
0.244,0.75,0.0171720286
0.245,0.75,0.0171720316
0.246,0.75,0.0171720318
0.247,0.75,0.0171720331
0.248,0.75,0.0171720343
0.249,0.75,0.0171720363
0.25,0.75,0.0171720392
0.251,0.75,0.0171720408
0.252,0.75,0.017172043
0.253,0.75,0.0171720468
0.254,0.75,0.0171720472
0.255,0.75,0.01717205
0.256,0.75,0.0171720549
0.257,0.75,0.0171720573
0.258,0.75,0.0171720592
0.259,0.75,0.0171720606
0.26,0.75,0.0171720626
0.261,0.75,0.0171720657
0.262,0.75,0.0171720667
0.263,0.75,0.0171720706
0.264,0.75,0.0171720724
0.265,0.75,0.0171720743
0.266,0.75,0.0171720778
0.267,0.75,0.0171720817
0.268,0.75,0.0171720869
0.269,0.75,0.0171720915
0.27,0.75,0.0171720944
0.271,0.75,0.0171720977
0.272,0.75,0.0171720999
0.273,0.75,0.017172104
0.274,0.75,0.0171721067
0.275,0.75,0.0171721099
0.276,0.75,0.0171721135
0.277,0.75,0.0171721177
0.278,0.75,0.0171721251
0.279,0.75,0.0171721298
0.28,0.75,0.0171721337
0.281,0.75,0.0171721373
0.282,0.75,0.0171721407
0.283,0.75,0.0171721446
0.284,0.75,0.0171721498
0.285,0.75,0.0171721561
0.286,0.75,0.0171721637
0.287,0.75,0.0171721676
0.288,0.75,0.0171721718
0.289,0.75,0.0171721771
0.29,0.75,0.0171721807
0.291,0.75,0.0171721905
0.292,0.75,0.0171721977
0.293,0.75,0.0171722031
0.294,0.75,0.0171722081
0.295,0.75,0.017172215
0.296,0.75,0.0171722201
0.297,0.75,0.0171722321
0.298,0.75,0.0171722368
0.299,0.75,0.0171722447
0.3,0.75,0.0171722505
0.301,0.75,0.0171722599
0.302,0.75,0.0171722685
0.303,0.75,0.0171722764
0.304,0.75,0.0171722831
0.305,0.75,0.0171722922
0.306,0.75,0.0171723045
0.307,0.75,0.017172312
0.308,0.75,0.0171723191
0.309,0.75,0.0171723329
0.31,0.75,0.0171723422
0.311,0.75,0.0171723494
0.312,0.75,0.0171723609
0.313,0.75,0.0171723751
0.314,0.75,0.0171723831
0.315,0.75,0.0171723944
0.316,0.75,0.0171724079
0.317,0.75,0.01717242
0.318,0.75,0.0171724296
0.319,0.75,0.017172446
0.32,0.75,0.0171724574
0.321,0.75,0.0171724711
0.322,0.75,0.0171724861
0.323,0.75,0.0171724973
0.324,0.75,0.0171725173
0.325,0.75,0.0171725273
0.326,0.75,0.0171725446
0.327,0.75,0.0171725593
0.328,0.75,0.0171725765
0.329,0.75,0.0171725926
0.33,0.75,0.0171726094
0.331,0.75,0.0171726301
0.332,0.75,0.0171726473
0.333,0.75,0.0171726654
0.334,0.75,0.0171726859
0.335,0.75,0.0171727045
0.336,0.75,0.0171727271
0.337,0.75,0.017172747
0.338,0.75,0.017172768
0.339,0.75,0.0171727895
0.34,0.75,0.0171728111
0.341,0.75,0.0171728379
0.342,0.75,0.0171728605
0.343,0.75,0.0171728823
0.344,0.75,0.0171729094
0.345,0.75,0.0171729376
0.346,0.75,0.0171729613
0.347,0.75,0.0171729896
0.348,0.75,0.0171730196
0.349,0.75,0.0171730501
0.35,0.75,0.0171730812
0.351,0.75,0.0171731076
0.352,0.75,0.017173139
0.353,0.75,0.0171731702
0.354,0.75,0.0171732045
0.355,0.75,0.0171732369
0.356,0.75,0.0171732739
0.357,0.75,0.0171733099
0.358,0.75,0.0171733449
0.359,0.75,0.0171733851
0.36,0.75,0.0171734244
0.361,0.75,0.0171734679
0.362,0.75,0.0171735088
0.363,0.75,0.017173549
0.364,0.75,0.0171735925
0.365,0.75,0.0171736383
0.366,0.75,0.0171736859
0.367,0.75,0.0171737302
0.368,0.75,0.0171737814
0.369,0.75,0.0171738311
0.37,0.75,0.0171738776
0.371,0.75,0.0171739348
0.372,0.75,0.0171739894
0.373,0.75,0.017174045
0.374,0.75,0.0171741036
0.375,0.75,0.0171741599
0.376,0.75,0.0171742211
0.377,0.75,0.0171742846
0.378,0.75,0.0171743483
0.379,0.75,0.0171744154
0.38,0.75,0.0171744797
0.381,0.75,0.0171745476
0.382,0.75,0.0171746198
0.383,0.75,0.0171746917
0.384,0.75,0.0171747708
0.385,0.75,0.0171748479
0.386,0.75,0.0171749266
0.387,0.75,0.0171750067
0.388,0.75,0.0171750956
0.389,0.75,0.0171751782
0.39,0.75,0.0171752699
0.391,0.75,0.0171753569
0.392,0.75,0.017175453
0.393,0.75,0.0171755465
0.394,0.75,0.0171756424
0.395,0.75,0.0171757459
0.396,0.75,0.0171758527
0.397,0.75,0.0171759586
0.398,0.75,0.0171760674
0.399,0.75,0.0171761832
0.4,0.75,0.0171762986
0.401,0.75,0.0171764166
0.402,0.75,0.0171765431
0.403,0.75,0.0171766645
0.404,0.75,0.0171767984
0.405,0.75,0.0171769307
0.406,0.75,0.0171770668
0.407,0.75,0.0171772073
