frequency,mag,phase
5623413.25,-22.0448793,-95.3409955
6309573.44,-23.0491923,-97.044598
7079457.84,-24.0567576,-98.8459651
7943282.35,-25.0679199,-100.772079
8912509.38,-26.0833557,-102.853051
10000000,-27.1042125,-105.122643
11220184.5,-28.1322923,-107.61849
12589254.1,-29.1702328,-110.381782
14125375.4,-30.2215787,-113.456495
15848931.9,-31.2906386,-116.889246
17782794.1,-32.3822407,-120.731603
19952623.1,-33.5017593,-125.045201
22387211.4,-34.6555951,-129.907555
25118864.3,-35.8518714,-135.417336
28183829.3,-37.10113,-141.700191
31622776.6,-38.416931,-148.916359
35481338.9,-39.8160841,-157.271319
39810717.1,-41.3179196,-167.031261
44668359.2,-42.9413325,-178.543911
50118723.4,-44.6967906,-192.258459
56234132.5,-46.568208,-208.715023
63095734.4,-48.4806178,-228.409697
70794578.4,-50.2709651,-251.353446
79432823.5,-51.7355227,-276.349031
89125093.8,-52.8011395,-300.90894
100000000,-53.6209215,-322.58778
112201845,-54.4272681,-340.134902
125892541,-55.3648525,-353.248182
141253754,-56.4533866,-361.934642
158489319,-57.6070482,-366.259373
177827941,-58.6572254,-366.51004
199526231,-59.4041724,-363.583729
223872114,-59.7252381,-359.088976
251188643,-59.6566234,-354.705411
281838293,-59.342964,-351.404429
316227766,-58.9286599,-349.371682
354813389,-58.5062812,-348.390096
398107171,-58.1207391,-348.154923
446683592,-57.7879975,-348.404459
501187234,-57.5095667,-348.946796
562341325,-57.2807528,-349.650686
630957344,-57.0947797,-350.429686
707945784,-56.9446833,-351.228401
794328235,-56.8240994,-352.012349
891250938,-56.7275263,-352.760939
1000000000,-56.6503495,-353.462715
